Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858651715;10;137126127;LF;1159304;AGROIDEAS SA;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;203;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651715;20;137126127;LF;1159304;AGROIDEAS SA;00097079259;BRV8472PWU SPC PWU COR CT CMQL BG80UK AR;C049;100;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651719;10;137138989;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;106;ZPB;07/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858651719;20;137138989;LF;421680;ACEITERA GENERAL DEHEZA SA;00097079259;BRV8472PWU SPC PWU COR CT CMQL BG80UK AR;C049;200;ZPB;07/09/2021;2071837;ACEITERA GENERAL DEHEZA SA;A131;06/09/2021
858651720;10;137146332;LF;679010;TECNOCALCHIN SRL;00097079259;BRV8472PWUN SPC PWU COR CT CMQL BG80UKAR;C049;56;ZPB;08/09/2021;679010;TECNOCALCHIN SRL;A131;06/09/2021
858651724;10;137173539;LF;1159304;AGROIDEAS SA;00097079281;BRV8472PWUN C16 PWU COR CT CMQL BG80UKAR;C049;60;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651724;20;137173539;LF;1159304;AGROIDEAS SA;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;86;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651726;10;137173542;LF;1159304;AGROIDEAS SA;00097079281;BRV8472PWUN C16 PWU COR CT CMQL BG80UKAR;C049;835;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651726;20;137173542;LF;1159304;AGROIDEAS SA;00097079256;BRV8472PWUN R17 PWU COR CT CMQL BG80UKAR;C049;160;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651732;10;137173546;LF;703320;CAVERZASI ORTIN Y CIA;00097079255;BRV8472PWUN R16 PWU COR CT CMQL BG80UKAR;C049;200;ZPB;08/09/2021;703320;CAVERZASI ORTIN Y CIA;A131;06/09/2021
